arm,run,event,site,onset,r0,rlag,tgt_peak,ach_peak,peak_ratio,ach_absmod,ach_max_raw,rmse
Choi,r2,51,P2,11203,0.4732563881592332,0.8091656164785456,0.000393803889,0.000646522045156,1.6417360600418043,0.000646522045156,0.000698158459,4.157849520424203e-05
Choi,r2,52,D2,11423,0.5945116812281813,0.8252851851969262,0.000360804722,0.000736077183816,2.0400985323468133,0.000736077183816,0.000771828403,4.879975606873213e-05
Choi,r2,53,LP,11643,0.5364396997762345,0.6896080256812368,0.0005547675,0.000764895108764,1.378766976731694,0.000764895108764,0.000822062546,5.5027048868205354e-05
Choi,r2,54,D1,11863,0.40198636880417166,0.8111639411312658,0.00033995777800000003,0.0007531933993199999,2.2155498360740546,0.0007531933993199999,0.000800125243,5.581521914008146e-05
Choi,r2,55,D2,12083,0.44875706474042126,0.8756029402573855,0.000360804722,0.0007453788221960001,2.0658787891251604,0.0007453788221960001,0.000840041728,6.71209279293914e-05
Choi,r2,56,D3,12303,0.46421816723587084,0.6653499433912059,0.000344954722,0.00093445753088,2.7089280745662614,0.00093445753088,0.00099524355,6.785675279962676e-05
Choi,r2,57,LP,12523,0.5280053327996318,0.7837251012529238,0.0005547675,0.0005682449253208,1.024293826370146,0.0005682449253208,0.00063236081,4.525095701787329e-05
Choi,r2,58,D1,12743,0.4033896864926883,0.8565346062249491,0.00033995777800000003,0.0008045316629920001,2.36656348245693,0.0008045316629920001,0.000854567334,5.254037234243683e-05
Choi,r2,59,P2,12963,0.4158945995733771,0.7615442018960514,0.000393803889,0.000784418082508,1.9919002945854607,0.000784418082508,0.000838634325,5.9242464265209935e-05
Choi,r2,60,SHAM,13183,-0.1514889782317938,-0.1862590916601161,3.8326943999999994e-05,0.00014182612162,3.7004286493595737,0.00014182612162,0.000209001126,4.423254914730867e-05
Choi,r2,61,D2,13403,0.5408075368375537,0.7367337835700722,0.000360804722,0.00082839171924,2.2959558695576052,0.00082839171924,0.000883842236,5.330219644357601e-05
Choi,r2,62,SHAM,13623,-0.01471955988529957,0.035957140241424754,3.8326943999999994e-05,4.540988712e-05,1.1848032318986874,6.666806849e-05,0.000121328951,4.344483912919735e-05
Choi,r2,63,D3,13843,0.45698217876381164,0.6955392804937188,0.000344954722,0.000582790099576,1.689468392248882,0.000582790099576,0.000617108541,4.5290042088933984e-05
Choi,r2,64,D1,14063,0.6145049361675634,0.7245540558406623,0.00033995777800000003,0.0005678898464328001,1.6704716973200124,0.0005678898464328001,0.000609821989,4.45077406030382e-05
Choi,r2,65,P2,14283,0.4294383453895493,0.7644735108417738,0.000393803889,0.0009834676409679998,2.4973538058889,0.0009834676409679998,0.00103352626,6.38302331542037e-05
Choi,r2,66,LP,14503,0.14915710614345812,0.44240615774255804,0.0005547675,0.00023519352075600003,0.42394971002446974,0.00023519352075600003,0.00027536173,5.1722363613893935e-05
Choi,r2,67,LP,14723,0.4204382230202273,0.7809606635655756,0.0005547675,0.0005605796149652,1.010476668091047,0.0005605796149652,0.000613067765,3.944905738972049e-05
Choi,r2,68,D1,14943,0.3533978574241012,0.8259610395919006,0.00033995777800000003,0.000643689935724,1.8934408252427157,0.000643689935724,0.000698685646,4.74298776998073e-05
Choi,r2,69,SHAM,15163,0.22065428881927246,0.22514277708641076,3.8326943999999994e-05,0.000137018499272,3.5749915065495443,0.000137018499272,0.00019241414,3.7074464505898966e-05
Choi,r2,70,D3,15383,0.5866554104837001,0.7139928638245904,0.000344954722,0.0008295564738080001,2.4048271291905956,0.0008295564738080001,0.00087861513,5.8622126160409846e-05
Choi,r2,71,D2,15603,0.5445017026707375,0.7798689483720902,0.000360804722,0.001023218619146,2.835934667024674,0.001023218619146,0.00106171228,7.979293988525267e-05
Choi,r2,72,P2,15823,0.3965584495330268,0.7173411188385393,0.000393803889,0.000361115902416,0.9169942514610363,0.000361115902416,0.00039944629,3.0250690659985288e-05
Choi,r2,73,D1,16043,0.45492237394822166,0.7665620253924158,0.00033995777800000003,0.000711274853308,2.0922446825381944,0.000711274853308,0.000751377782,5.081977493459547e-05
Choi,r2,74,D3,16263,0.5396666985837056,0.6553885537170485,0.000344954722,0.000823955711628,2.388590905063767,0.000823955711628,0.000868923962,6.686414478008635e-05
Choi,r2,75,LP,16483,0.3807198563383314,0.7333317593143595,0.0005547675,0.000612991044504,1.1049512534602333,0.000612991044504,0.000672615308,4.612311138071443e-05
Choi,r2,76,P2,16703,0.36227106980948476,0.6011255373479052,0.000393803889,0.0004731652035,1.201524963863422,0.0004731652035,0.000540480833,5.372739751084407e-05
Choi,r2,77,D2,16923,0.20807366663569438,0.4019017392504422,0.000360804722,0.00020198379626799998,0.5598147251188137,0.00020198379626799998,0.000320192252,7.336950031190078e-05
Choi,r2,78,SHAM,17143,-0.1341833778196568,-0.16867074785559966,3.8326943999999994e-05,0.00011364255904,2.9650827115253438,0.00011364255904,0.00016857624,3.6004908593812604e-05
Choi,r2,79,LP,17363,0.30162595558172445,0.4483312155425553,0.0005547675,0.00028340322431599996,0.51085044512521,0.00028340322431599996,0.000340500177,5.140199619016769e-05
Choi,r2,80,D1,17583,0.5088400103560821,0.6201750590071814,0.00033995777800000003,0.000619424761016,1.8220638005699636,0.000619424761016,0.000692523376,5.2033360264516436e-05
Choi,r2,81,D3,17803,0.4919143738535428,0.6094709578759697,0.000344954722,0.0007725107638880001,2.2394555419015254,0.0007725107638880001,0.000853149104,6.812724261760983e-05
Choi,r2,82,SHAM,18023,0.05043962386451507,0.08281738601970769,3.8326943999999994e-05,0.00011345100115200001,2.960084716172519,0.00011345100115200001,0.000162004537,3.3198117344285035e-05
Choi,r2,83,D2,18243,0.4532865846921292,0.6468044777216647,0.000360804722,0.0005479467937584,1.5186796633953146,0.0005479467937584,0.000590731855,5.138528263010963e-05
Choi,r2,84,P2,18463,0.3535081538801536,0.7363840235003647,0.000393803889,0.00047552449250400005,1.2075159890155378,0.00047552449250400005,0.000543818169,4.5492693305927924e-05
Choi,r2,85,D1,18683,0.4653797783244903,0.6973220376297601,0.00033995777800000003,0.0007690143247280001,2.2620877488145013,0.0007690143247280001,0.000845173257,6.915560313769803e-05
Choi,r2,86,D3,18903,0.370004527386852,0.6636988851452911,0.000344954722,0.00036530909134400004,1.059005915982214,0.00036530909134400004,0.000422043668,4.071227232814056e-05
Choi,r2,87,P2,19123,0.20783886798080597,0.5094553935213476,0.000393803889,0.000268757763476,0.6824659963578977,0.000268757763476,0.000312028162,4.0295307483893124e-05
Choi,r2,88,LP,19343,0.4771570496695031,0.7098521639339423,0.0005547675,0.000579321988436,1.0442608632192765,0.000579321988436,0.000626527122,4.032807711878148e-05
Choi,r2,89,D2,19563,0.5765317675999384,0.8168868353612434,0.000360804722,0.001009147638324,2.796935784903613,0.001009147638324,0.0010598778,7.486048585135237e-05
Choi,r2,90,SHAM,19783,-0.23390004466284992,-0.23124008626735562,3.8326943999999994e-05,0.00013825550051199998,3.6072664836518142,0.00013825550051199998,0.000188142076,3.9744475896660123e-05
