tick,u1,u2,u3,u4,u5,u6,u7,u8
583,10,0,0,10,0,0,0,0
584,10,0,0,10,0,0,0,0
585,10,0,0,10,0,0,0,0
586,30,0,0,30,0,0,0,0
587,30,0,0,30,0,0,0,0
588,30,0,0,30,0,0,0,0
589,30,0,0,30,0,0,0,0
590,30,0,0,30,0,0,0,0
591,10,0,0,30,0,0,0,0
592,10,0,0,30,0,0,0,0
593,10,0,0,30,0,0,0,0
594,10,0,0,30,0,0,0,0
595,10,0,0,30,0,0,0,0
596,10,0,0,30,0,0,0,0
597,10,0,0,30,0,0,0,0
598,10,0,0,30,0,0,0,0
599,10,0,0,30,0,0,0,0
600,10,0,0,30,0,0,0,0
601,30,0,0,10,0,0,0,0
602,30,0,0,10,0,0,0,0
603,30,0,0,10,0,0,0,0
604,30,0,0,10,0,0,0,0
605,30,0,0,10,0,0,0,0
606,30,0,0,30,0,0,0,0
607,30,0,0,30,0,0,0,0
608,30,0,0,30,0,0,0,0
609,30,0,0,30,0,0,0,0
610,30,0,0,30,0,0,0,0
611,10,0,0,10,0,0,0,0
612,10,0,0,10,0,0,0,0
613,10,0,0,10,0,0,0,0
614,10,0,0,10,0,0,0,0
615,10,0,0,10,0,0,0,0
616,10,0,0,30,0,0,0,0
617,10,0,0,30,0,0,0,0
618,10,0,0,30,0,0,0,0
619,10,0,0,30,0,0,0,0
620,10,0,0,30,0,0,0,0
621,10,0,0,30,0,0,0,0
622,10,0,0,30,0,0,0,0
623,10,0,0,30,0,0,0,0
624,10,0,0,30,0,0,0,0
625,10,0,0,30,0,0,0,0
626,30,0,0,10,0,0,0,0
627,30,0,0,10,0,0,0,0
628,30,0,0,10,0,0,0,0
629,30,0,0,10,0,0,0,0
630,30,0,0,10,0,0,0,0
631,10,0,0,10,0,0,0,0
632,10,0,0,10,0,0,0,0
633,10,0,0,10,0,0,0,0
634,10,0,0,10,0,0,0,0
635,10,0,0,10,0,0,0,0
636,10,0,0,30,0,0,0,0
637,10,0,0,30,0,0,0,0
638,10,0,0,30,0,0,0,0
639,10,0,0,30,0,0,0,0
640,10,0,0,30,0,0,0,0
641,10,0,0,10,0,0,0,0
642,10,0,0,10,0,0,0,0
643,10,0,0,10,0,0,0,0
644,10,0,0,10,0,0,0,0
645,10,0,0,10,0,0,0,0
646,30,0,0,30,0,0,0,0
647,30,0,0,30,0,0,0,0
648,30,0,0,30,0,0,0,0
649,30,0,0,30,0,0,0,0
650,30,0,0,30,0,0,0,0
651,10,0,0,30,0,0,0,0
652,10,0,0,30,0,0,0,0
653,10,0,0,30,0,0,0,0
654,10,0,0,30,0,0,0,0
655,10,0,0,30,0,0,0,0
656,10,0,0,10,0,0,0,0
657,10,0,0,10,0,0,0,0
658,10,0,0,10,0,0,0,0
659,10,0,0,10,0,0,0,0
660,10,0,0,10,0,0,0,0
661,10,0,0,10,0,0,0,0
662,10,0,0,10,0,0,0,0
663,10,0,0,10,0,0,0,0
664,10,0,0,10,0,0,0,0
665,10,0,0,10,0,0,0,0
666,10,0,0,30,0,0,0,0
667,10,0,0,30,0,0,0,0
668,10,0,0,30,0,0,0,0
669,10,0,0,30,0,0,0,0
670,10,0,0,30,0,0,0,0
671,10,0,0,30,0,0,0,0
672,10,0,0,30,0,0,0,0
673,10,0,0,30,0,0,0,0
674,10,0,0,30,0,0,0,0
675,10,0,0,30,0,0,0,0
676,10,0,0,30,0,0,0,0
677,10,0,0,30,0,0,0,0
678,10,0,0,30,0,0,0,0
679,10,0,0,30,0,0,0,0
680,10,0,0,30,0,0,0,0
681,10,0,0,30,0,0,0,0
682,10,0,0,30,0,0,0,0
683,10,0,0,30,0,0,0,0
684,10,0,0,30,0,0,0,0
685,10,0,0,30,0,0,0,0
686,10,0,0,10,0,0,0,0
687,10,0,0,10,0,0,0,0
688,10,0,0,10,0,0,0,0
689,10,0,0,10,0,0,0,0
690,10,0,0,10,0,0,0,0
691,30,0,0,10,0,0,0,0
692,30,0,0,10,0,0,0,0
693,30,0,0,10,0,0,0,0
694,30,0,0,10,0,0,0,0
695,30,0,0,10,0,0,0,0
696,10,0,0,10,0,0,0,0
697,10,0,0,10,0,0,0,0
698,10,0,0,10,0,0,0,0
